publish_date,province,city,price
2019-11-15 08:40:06,河南省,梁园区,55.00
2019-11-15 08:40:06,山西省,绛县,52.00
2019-11-15 08:40:06,河南省,南乐县,46.00
2019-11-15 08:40:06,河北省,大城县,56.00
2019-11-15 08:40:06,河南省,延津县,52.00
2019-11-14 08:40:06,河南省,舞钢市,56.00
2019-11-14 08:40:06,湖北省,竹山县,47.00
2019-11-14 08:40:06,河北省,安国市,46.00
2019-11-14 08:40:06,甘肃省,凉州区,52.00
2019-11-14 08:40:06,天津市,滨海新区,40.00
2019-11-14 08:40:06,河南省,宜阳县,50.00
2019-11-14 08:40:06,河南省,禹州市,30.00
2019-11-15 08:40:06,云南省,祥云县,45.00
2019-11-15 08:40:06,天津市,河西区,45.00
2019-11-15 08:40:06,黑龙江,海伦市,46.00
2019-11-15 08:40:06,山东省,单县,50.00
2019-11-15 08:40:06,贵州省,正安县,44.00
2019-11-15 08:40:06,湖北省,宣恩县,46.00
2019-11-15 08:40:06,甘肃省,岷县,55.00
2019-11-15 08:40:06,山东省,坊子区,50.00
2019-11-15 08:40:06,福建省,平和县,54.00
2019-11-15 08:40:06,河南省,浚县,50.00
2019-11-15 08:40:06,山东省,高青县,44.00
2019-11-15 08:40:06,湖北省,广水市,50.00
2019-11-13 08:40:04,甘肃省,泾川县,48.00
2019-11-13 08:40:04,山东省,莒南县,45.00
2019-11-13 08:40:04,山东省,历城区,56.00
2019-11-14 08:40:06,重庆市,合川区,44.00
2019-11-14 08:40:06,山东省,滕州市,52.00
2019-11-14 08:40:06,山东省,滕州市,52.00
2019-11-14 08:40:06,甘肃省,凉州区,42.00
2019-11-14 08:40:06,河北省,威县,50.00
2019-11-14 08:40:06,吉林省,延吉市,45.00
2019-11-14 08:40:06,河南省,襄城县,39.00
2019-11-14 08:40:06,新疆,奎屯市,50.00
2019-11-14 08:40:06,河南省,延津县,56.00
2019-11-14 08:40:06,河南省,淮阳县,50.00
2019-11-15 08:40:06,山东省,临朐县,58.00
2019-11-15 08:40:06,重庆市,渝北区,42.00
2019-11-15 08:40:06,湖南省,醴陵市,50.00
2019-11-15 08:40:06,河南省,淮阳县,48.00
2019-11-15 08:40:06,河南省,襄城县,37.00
2019-11-15 08:40:06,甘肃省,凉州区,50.00
2019-11-15 08:40:06,四川省,东坡区,56.00
2019-11-15 08:40:06,山西省,襄汾县,50.00
2019-11-15 08:40:06,辽宁省,昌图县,30.00
2019-11-15 08:40:06,河北省,沧县,40.00
2019-11-15 08:40:06,江西省,上栗县,51.00
2019-11-15 08:40:06,江西省,袁州区,55.80
2019-11-15 08:40:06,山东省,邹城市,38.00
2019-11-15 08:40:06,河北省,新乐市,56.00
2019-11-15 08:40:06,江苏省,常熟市,54.00
2019-11-15 08:40:06,陕西省,丹凤县,48.00
2019-11-15 08:40:06,天津市,宁河区,39.00
2019-11-15 08:40:06,河南省,舞钢市,55.00
2019-11-16 08:40:05,山东省,滕州市,52.00
2019-11-16 08:40:05,山东省,滕州市,52.00
2019-11-16 08:40:05,山西省,阳高县,48.00
2019-11-13 08:40:04,云南省,个旧市,35.00
2019-11-13 08:40:04,湖北省,竹山县,48.00
2019-11-13 08:40:04,山西省,绛县,52.00
2019-11-13 08:40:04,江苏省,如东县,40.00
2019-11-13 08:40:04,甘肃省,凉州区,42.00
2019-11-13 08:40:04,山东省,兰山区,49.00
2019-11-13 08:40:04,山东省,阳谷县,54.00
2019-11-13 08:40:04,新疆,奎屯市,50.00
2019-11-13 08:40:04,山东省,桓台县,70.00
2019-11-13 08:40:04,吉林省,延吉市,45.00
2019-11-13 08:40:04,陕西省,商州区,46.00
2019-11-13 08:40:04,山东省,临沭县,60.00
2019-11-13 08:40:04,福建省,平和县,58.00
2019-11-13 08:40:04,山西省,壶关县,54.00
2019-11-13 08:40:04,山东省,临朐县,60.00
2019-11-14 08:40:06,河南省,温县,46.70
2019-11-14 08:40:06,山西省,襄汾县,50.00
2019-11-14 08:40:06,山东省,郯城县,52.00
2019-11-14 08:40:06,河北省,藁城区,46.00
2019-11-14 08:40:06,河南省,商水县,30.00
2019-11-15 08:40:06,河北省,涞水县,44.80
2019-11-15 08:40:06,山东省,龙口市,47.60
2019-11-15 08:40:06,江苏省,睢宁县,58.00
2019-11-15 08:40:06,山东省,淄川区,50.00
2019-11-15 08:40:06,河北省,南和县,50.00
2019-11-15 08:40:06,新疆,奎屯市,50.00
2019-11-15 08:40:06,河南省,舞钢市,58.00
2019-11-15 08:40:06,山西省,长治县,56.00
2019-11-15 08:40:06,山东省,微山县,60.00
2019-11-15 08:40:06,河南省,卫辉市,44.00
2019-11-15 08:40:06,湖北省,大冶市,42.00
2019-11-15 08:40:06,辽宁省,黑山县,42.00
2019-11-15 08:40:06,河南省,祥符区,50.00
2019-11-15 08:40:06,黑龙江省,尚志市,52.00
2019-11-15 08:40:06,天津市,武清区,50.00
2019-11-18 08:40:04,河南省,襄城县,36.00
2019-11-18 08:40:04,北京市,海淀区,55.00
2019-11-18 08:40:04,河南省,文峰区,66.00
2019-11-18 08:40:04,四川省,中江县,46.00
2019-11-18 08:40:04,四川省,雁江区,46.00
2019-11-18 08:40:04,河南省,卫辉市,44.00
2019-11-18 08:40:04,云南省,泸西县,42.00
2019-11-18 08:40:04,陕西省,户县,42.00
2019-11-17 08:40:05,陕西省,商州区,46.00
2019-11-17 08:40:05,山东省,龙口市,42.00
2019-11-17 08:40:05,广东省,英德市,50.00
2019-11-17 08:40:05,四川省,雁江区,46.00
2019-11-17 08:40:05,河南省,遂平县,43.00
2019-11-17 08:40:05,河北省,安国市,40.00
2019-11-17 08:40:05,山东省,商河县,52.00
2019-11-17 08:40:05,山东省,鄄城县,50.00
2019-11-17 08:40:05,河北省,藁城区,40.00
2019-11-17 08:40:05,河南省,南乐县,36.00
2019-11-17 08:40:05,山东省,郓城县,40.00
2019-11-16 08:40:05,陕西省,商州区,47.00
2019-11-16 08:40:05,黑龙江,密山市,50.00
2019-11-16 08:40:05,新疆,奎屯市,48.00
